#,項目號碼,項目說明,製造商,上次採購價格,供應商最新報價
4780,12-023201500,WAFER HEAD DIP FM RA 2*15P PH2.0 FANS4-30LG-RO(1198D010) PB_FREE,DAVID,NTD 8.0000,NTD 8.0000
4781,12-023201502,WAFER HEAD DIP FM RA 2*15P PH2.0 with Ejector FAS-30LG-RO(11640030) PB_FREE,DAVID,NTD 15.0000,NTD 17.0000
4782,12-024201100,WAFER HEAD SMD ML ST 2*11P FANS3-22MG-R-RO+CAP(1199C010) PH2.00 PB_FREE,DAVID,NTD 7.6300,NTD 7.6300
4783,12-024202000,WAFER HEAD SMD ML ST 2*20P B1C0A1A1A1A1 PH1.27 PB_FREE,ERNI,,
4784,12-026202000,WAFER HEAD SMD FM ST 2*20P B1C0A3A1A1A1 PH1.27 PB_FREE,ERNI,,
4785,12-027120000,WAFER HEAD SMD FM RA 1*3P 2001-SWR19T-3-LF PH2.00 S3WA005 PB_FREE,Lian Xiang,NTD 3.1000,NTD 3.3000
4786,12-031002100,JUMPER 1*2P PH2.54 BLUE,ARC,NTD 0.2200,NTD 0.2200
4787,12-043130001,DC POWER JACK 3P 1.3ψ 0718*013,JYETAI,NTD 2.4000,NTD 2.4000
4788,12-043200002,DC POWER JACK 3P 2.0ψ 5J1.2211F-11018.103 PB_FREE,ARC,NTD 2.3500,NTD 2.3500
4789,12-050000010,BATTERY HOLDER SMD CR2032 LOTES AAA-BAT-063-P03_A (SHIHNO),LOTES,NTD 2.6000,NTD 2.6000
4790,12-050000020,BATTERY HOLDER SMD CR2032 LOTES AAA-BAT-063-P03_A (LOTES),LOTES,NTD 2.7000,NTD 2.7000
4791,12-050000030,BATTERY HOLDER SMD CR2032 LOTES AAA-BAT-032-K01_A,LOTES,,NTD 3.2500
4792,12-050122000,BATTERY HOLDER SMD CR1220 5B3.2331G-12110.001 PB_FREE,ARC,NTD 7.2581,NTD 7.2580
4793,12-050203201,BATTERY HOLDER DIP CR2032 (臥式) 5B3.2211B-11100.001 PB_FREE,ARC,NTD 3.5000,NTD 3.5000
4794,12-050756600,BATTERY HOLDER DIP CR2032 (立式) KB7566BP5L PB_FREE,KTS,NTD 2.2800,NTD 2.2800
4795,12-051203200,*BATTERY HOLDER SMD CR2032 AAA-BAT-032-K01 PB_FREE,LOTES,NTD 3.2500,NTD 3.2500
4796,12-051203201,*BATTERY HOLDER SMD CR2032 BHAAA-BAT-032-K01_A PB_FREE,LOTES,NTD 3.2500,NTD 3.2500
4797,12-060000010,JACK RJ45 DIP 10Gb 22P 1PORT TAB-UP MARVELL AQX-N3F13-DSN-U3C,MARVELL,,USD 4.0000
4798,12-060000020,*JACK RJ45 DIP 1Gb XMER LED:L-G;R-G/O 28P 2PORT SPEED TECH RMG42A-AFT3-FE0-0R,SpeedTech,USD 1.7000,USD 1.7000
4799,12-060000030,JACK RJ45 DIP 10Gb XMER LED:L-G/Y;R-G 20P 1PORT TAB-DOWN FOXCONN JFM5801JB04G,FOXCONN,,
4800,12-060000040,JACK RJ45 DIP 10Gb XMER LED:L-G/Y;R-G 19P 1PORT TAB-UP UDE S26-CL-0012,UDE,NTD 146.0000,NTD 150.0000
4801,12-060000050,JACK RJ45 DIP 10Gb XMER LED:L-G/Y;R-G 17P 1PORT TAB-DOWN PULSE JT4-1104HL,Pulse,USD 4.5000,USD 4.5000
4802,12-060000060,JACK RJ45 DIP 1Gb XMER LED:L-G;R-G/Y 19P 1PORT TAB-UP UDE S26-CL-0011,UDE,NTD 40.0000,NTD 40.0000
4803,12-060000080,JACK RJ45 DIP 2.5Gb XMER LED:L-G;R-G/Y 56P 4PORT TAB-DOWN UDE RB4-CL-0007,UDE,,NTD 204.0000
4804,12-060000090,JACK RJ45 DIP 2.5Gb XMER LED:L-G;R-G/Y 56P 4PORT TAB-DOWN SPEEDTECH RNAA0N-HCT1-F30-0R,SpeedTech,,USD 4.3000
4805,12-060000100,JACK RJ45 DIP 1Gb XMER LED:L-G;R-G/Y 14P 1PORT TAB-UP UDE RT7-CL-0007,UDE,NTD 41.0000,NTD 41.0000
4806,12-061911002,JACK RJ45 10Gb Base T(with XMER/20mA LED) 19P 1PORT (TAP-DOWN) METAL JFM5801J-M12G-4F PB_FREE,FOXCONN,NTD 175.0000,NTD 175.0000
4807,12-061911103,JACK RJ45 10/100/1000 (with XMER) 8P8C 19P 1PORT (TAB-DOWN) METAL GD1-ZZ-0070 PB_FREE,UDE,NTD 47.0000,NTD 47.0000
4808,12-062011101,JACK RJ45 10Gb Base T(with XMER/20mA LED) 20Pin 1PORT (TAB-DOWN) METAL GDC-ZZ-0046 PB_FREE,UDE,NTD 152.0000,NTD 152.0000
4809,12-062211103,JACK RJ45 10Gb Base T(with XMER/20mA LED) 22Pin 1PORT (TAB-UP) METAL GSB-ZZ-0015 PB_FREE,UDE,,
4810,12-062821101,JACK RJ45 10/100/1000 (with XMER/LED:L-Y;R-G/O) 8P8C 28P 2PORT METAL RM3-18LA9V1Q PB_FREE,COMAX,NTD 81.0000,NTD 81.0000
4811,12-062821102,JACK RJ45 10/100/1000 (with XMER/LED:L-G;R-G/O) 8P8C 28P 2PORT METAL RM3-1Q6A9V1Q PB_FREE,UDE,NTD 59.4000,NTD 59.4000
4812,12-062821104,*JACK RJ45 10/100/1000 (with XMER/LED:L-G;R-G/O) 8P8C 28P 2PORT METAL 2TJ3206-122112F PB_FREE,Singatron,NTD 61.0000,NTD 61.0000
4813,12-065614003,JACK RJ45 2.5G Base-T LED:L-G:R_G/Y  56P 4PORT PLASTIC S23-ZZ-0019 PB_FREE,UDE,NTD 180.0000,NTD 180.0000
4814,12-065614101,*JACK RJ45 10/100/1000 (with XMER/LED:L-G;R-Y) 8P8C 56P 4PORT (TAB-DOWN) METAL RB4-12GFAM1A PB_FREE,UDE,NTD 132.0000,NTD 132.0000
4815,12-065614102,*JACK RJ45 10/100/1000(with XMER/LED:L-Y;R-G/O) 8P8C 56P 4PORT (TAB-DOWN) METAL RB4-17GFAM1A PB_FREE,UDE,NTD 131.0000,NTD 131.0000
4816,12-065614103,JACK RJ45 10/100/1000(with XMER/LED:L-G;R-G/O) 8P8C 56P 4PORT (TAB-DOWN) METAL RB4-1QGFAM1A PB_FREE,UDE,NTD 128.0000,NTD 128.0000
4817,12-065614104,JACK RJ45 10/100/1000(with XMER/LED:L-G;R-G/O) 8P8C 56P 4PORT (TAB-DOWN) METAL RB4-1QLFAM1A PB_FREE,UDE,NTD 128.0000,NTD 128.0000
4818,12-065614111,JACK RJ45 10/100/1000 (with XMER/LED:L-G;R-G/O) 56P 8P8C 4PORT (TAP-UP) METAL RTC-1QDBAM1A PB_FREE,UDE,NTD 124.0000,NTD 124.0000
4819,12-065614112,*JACK RJ45 10/100/1000 (with XMER/LED:L-G;R-G/O) 8P8C 56P 4PORT (TAB-UP)METAL 2TJ1600-000111F,Singatron,NTD 122.0000,NTD 122.0000
4820,12-068811000,*JACK RJ45 8P8C 1PORT PLASTIC 340-1811-10011,FINEJACK,NTD 3.5000,NTD 3.5000
4821,12-068811002,JACK RJ45 8P8C 8P 1PORT (TAB-DOWN) PLASTIC BLUE JM16111-KD24-4F PB_FREE,FOXCONN,NTD 5.5000,NTD 5.5000
4822,12-068811003,JACK RJ45 DIP 10/100/1000 XMER LED_L:G/O R:G 18P 1PORT TAB-DOWN UDE s11-zz-0234,UDE,NTD 32.0000,NTD 32.0000
4823,12-068811012,JACK RJ45 8P8C 8P 1PORT (TAB-UP) METAL JM37115-L0FF-4F PB_FREE,FOXCONN,NTD 11.5001,NTD 11.0000
4824,12-068811022,JACK RJ45 8P8C 8P 1PORT (TAB-DOWN) PLASTIC YELLOW JMP1R0Y-RD001-4F PB_FREE,FOXCONN,,
4825,12-068811100,JACK RJ45 8P8C 8P 1PORT (TAB-DOWN) METAL 340S-1811-11311 PB_FREE,FINEJACK,NTD 9.9000,NTD 9.9000
4826,12-068811101,JACK RJ45 10Gb Base T(with XMER/20mA LED) 19Pin 1PORT (TAB-UP) METAL GTD-5Q00VS24 PB_FREE,UDE,NTD 160.0000,NTD 160.0000
4827,12-068811102,JACK RJ45(Low profile) 8P8C 8P 1PORT (TAB-DOWN) METAL JM3611-RS5*0003-7H PB_FREE,FOXCONN,,
4828,12-068811103,JACK RJ45 10/100/1000 (with XMER) 8P8C 10P 1PORT (TAB-DOWN) METAL RB1-105BAK1A PB_FREE,UDE,,NTD 33.0000
4829,12-068811104,*JACK RJ45 10/100/1000(with XMER/LED:L-G;R-G/O) 8P8C 14P 1PORT (TAB-UP) METAL 2TJ1602-002211F,Singatron,,NTD 28.8000
4830,12-068811110,JACK RJ45 8P8C 8P 1PORT METAL (TAB-DOWN) 340S-1811-13311 PB_FREE,FINEJACK,NTD 9.0000,NTD 9.9000
4831,12-068811113,JACK RJ45 10/100/1000 (with XMER/LED:L-G;R-G/O) 8P8C 14P 1PORT (TAB-UP) METAL RT7-1Q5AAM1F PB_FREE,UDE,NTD 33.0000,NTD 33.0000
4832,12-068811123,JACK RJ45 10/100/1000 (with XMER) 8P8C 10P 1PORT (TAB-DOWN) METAL RB1-107BAK1A(無側邊彈片) PB_FREE,UDE,NTD 32.0000,NTD 32.0000
4833,12-068814102,JACK RJ45 8P8C 32P 4PORT PLASTIC (TAB-DOWN) JM16141-KN28 -4F PB_FREE,FOXCONN,NTD 16.0000,NTD 16.0000
4834,12-068821103,JACK RJ45 10/100/1000 (with XMER) 8P8C 20P 2PORT METAL RM3-106A9V1Q PB_FREE,COMAX,,NTD 62.0000
4835,12-068828111,JACK RJ45 10/100/1000(with XMER/LED: R-G/O;L-Y) 8P8C 112PIN 8PORT(4x2) METAL RM5-17AA9V1F PB_FREE,UDE,,NTD 360.0000
4836,12-06A811103,*JACK RJ45 10/100/1000(with XMER/LED:L-G;R-G/O) 10P8C 14P 1PORT (TAB-UP) METAL RT7-1Q5AAM1F PB_FREE,UDE,,NTD 35.0000
4837,12-06AA11001,JACK RJ45 10/100/1000 (with XMER/ L-G;R-G/O) 8P8C 14P 1PORT METAL (TAB-DOWN) RB1-2Q7BAK1A PB_FREE,UDE,NTD 34.0000,NTD 34.0000
4838,12-06C811103,JACK RJ45 10Gb Base T(with XMER/20mA LED) 12Pin 1PORT (TAB-UP) METAL GTD-ZZ-0014 PB_FREE,UDE,NTD 179.0000,NTD 179.0000
4839,12-06C811105,JACK RJ45 10Gb Base T(with XMER/20mA LED) 12P 1PORT (TAP-DOWN) METAL AQX-N3F10-DRE-U3C PB_FREE,AQUANTIA,NTD 125.0000,NTD 125.0000
4840,12-06C811106,JACK RJ45 10Gb Base T(with XMER/20mA LED) 15P 1PORT (TAP-DOWN) METAL JT4-1128NL PB_FREE,Pulse,USD 4.6000,USD 4.6000
4841,12-070000010,CONN USB3.0 SMD RA TYPE-A 1PORT 9P ARC 5U1-004-401104-L,ARC,NTD 4.5600,NTD 4.5600
4842,12-070000020,CONN USB3.1 PIH UR TYPE-C 1PORT 24P DAVID 21403300,DAVID,NTD 27.0000,NTD 27.0000
4843,12-070000030,CONN USB3.1 PIH RA TYPE-C 1PORT 24P DAVID 21403400,DAVID,NTD 19.0000,NTD 19.0000
4844,12-070000040,CONN USB3.1 Gen2 DIP RA TYPE-A 2PORT 18P LOTES AUSB0516-K019C,LOTES,,NTD 8.1000
4845,12-070000050,CONN USB3.0 SMD RA TYPE-A 1PORT 9P LOTES AUSBA143-P001AC,LOTES,,NTD 4.8000
4846,12-070000060,CONN USB3.1 SMD(DUAL) RA TYPE-C 1PORT 24P DAVID 21404000,DAVID,NTD 19.0000,NTD 19.0000
4847,12-070000070,CONN USB3.0 DIP ST TYPE-A 1PORT 13P FOXCONN UEA0112C-4FH1-4F,FOXCONN,,NTD 16.0000
4848,12-071000910,USB3.0 CON A TYPE 1PORT U/R 9P DIP UEA3119C-4FB1-4F(BLUE) PB_FREE,FOXCONN,NTD 19.0000,NTD 19.0000
4849,12-07100091A,USB3.0 CON A TYPE 1PORT U/R 9P DIP AUSB0043-P005C PB_FREE,LOTES,NTD 18.0000,NTD 18.0000
4850,12-071001400,USB CON A TYPE 1PORT RA 4P DIP UB1112C-4K1-4F FOXCONN PB_FREE,FOXCONN,NTD 2.9000,NTD 2.9000
4851,12-071001411,*USB CON A TYPE 1PORT RA 4P 5U1.2121A-41160.104 PB_FREE,ARC,NTD 3.2000,NTD 3.2000
4852,12-071002410,USB3.0 CON A TYPE 1PORT RA 9P DIP UEA1111-R04012-7H(BLUE) PB_FREE,FOXCONN,,
4853,12-071002411,USB3.0 CON A TYPE 1PORT RA 9P DIP UEA1111-R04011-7H(BLACK) PB_FREE,FOXCONN,,
4854,12-071002416,USB3.0 CON A TYPE 1PORT A/F 9P DIP USB3A-0701E072 PB_FREE,Lian Xiang,,
4855,12-071002910,USB3.0 CON A TYPE 1PORT RA 9P DIP UEA1112C-4HK1-4H PB_FREE,FOXCONN,NTD 5.6500,NTD 5.6500
4856,12-071020600,USB2.0 CON SMT A TYPE 1PORT ST 6P UB20103-37-7F PB_FREE,FOXCONN,,
4857,12-071020918,*USB3.0 CON A TYPE 1PORT 9P SMT 18-31220-1A61-A PB_FREE,T-CONN,USD 0.2000,USD 0.2000
4858,12-071020919,USB3.0 CON A TYPE 1PORT 9P SMT 22EC-091T-11IL PB_FREE,Mega-Chip,USD 0.2000,USD 0.2000
4859,12-071021400,USB CON SMT A TYPE 1PORT RA 4P UB51123-4S1-4F PB_FREE,FOXCONN,NTD 6.7000,NTD 6.7000
4860,12-071021403,*USB CON A TYPE 1PORT RA 4P USB2-A-SM-K-O-RO(1558B010) PB_FREE,DAVID,NTD 3.7000,NTD 3.7000
4861,12-071021413,USB CON A TYPE 1PORT RA 4P USB2-A-SM-K-GS6-O-RO(1558B020) PB_FREE,DAVID,NTD 4.0000,NTD 4.0000
4862,12-071021423,USB CON A TYPE 1PORT RA 4P USB4/A-SU-K-G-O-RO(1556D010) PB_FREE,DAVID,NTD 3.7000,NTD 3.7000
4863,12-071031404,*USB CON A TYPE 1PORT U/R 4P DIP C10755-10403-Y PB_FREE,ALLTOP,NTD 9.5000,NTD 9.5000
4864,12-071031405,*USB CON A TYPE 1PORT U/R 4P DIP USBAF20-04RSBK-3P-PBT PB_FREE,HSD,NTD 8.5000,NTD 8.5000
4865,12-071120501,MINI USB 5P SMD 5U1.2237C-4137A.105 PB_FREE,ARC,,
4866,12-071121501,*MINI USB 5P SMD 5U1.2237C-30120.105 PB_FREE,ARC,NTD 3.4000,NTD 3.4000
4867,12-071121502,*MINI USB 5P SMD 5U1.2237C-301X0.105 PB_FREE,ARC,,NTD 3.4000
4868,12-071202430,USB3.1 CON C TYPE 1PORT RA 24P UT1111C-1340D-7H PB_FREE,FOXCONN,,
4869,12-071222430,USB3.1 CON C TYPE 1PORT SMT 24P UT12113-116B2-7H PB_FREE,FOXCONN,,
4870,12-072001810,USB3.0 CON A TYPE 2PORT RA 18P UEA11123-8HD1-4H PB_FREE,FOXCONN,NTD 12.0000,NTD 12.0000
4871,12-072001817,*USB3.0 CON A TYPE 2PORT RA 18P U3C005-JB5-HT PB_FREE,PALCONN,USD 0.4750,USD 0.4000
4872,12-07200181B,USB3.0 CON A TYPE 2PORT RA 18P U3C025-JB5-HT PB_FREE,PALCONN,USD 0.4750,USD 0.6300
4873,12-072002410,*USB CON A TYPE 2PORT RA 8P UB1112C-8D1-4F PB_FREE,FOXCONN,NTD 5.3000,NTD 5.3000
4874,12-072002422,USB2.0&USB3.0 CON A TYPE 2PORT RA 13P DIP UEA1112C-UHS6-4F PB_FREE,FOXCONN,NTD 23.0000,NTD 23.0000
4875,12-072002910,*USB3.0 CON A TYPE 2PORT RA 18P UEA1112C-8HK1-4H PB_FREE,FOXCONN,NTD 18.5000,NTD 18.5000
4876,12-072012410,*USB CON A TYPE DIP 2PORT ST 8P UB0112C-T1-4F PB_FREE,FOXCONN,NTD 12.8000,NTD 12.8000
4877,12-072012411,USB CON A TYPE DIP 2PORT RA 8P UB1112C-8FDE-4F PB_FREE,FOXCONN,NTD 4.4000,NTD 4.2000
4878,12-072012412,*USB CON A TYPE DIP 2PORT RA 8P S3USB01PB_FREE,Lian Xiang,NTD 4.2000,NTD 4.2000
4879,12-080000010,TACT SWITCH PIH RA 6P CONTACT TS-M8A-7-E0RL-S313,CONTACT,NTD 13.3000,NTD 13.3000
4880,12-080000020,TACT SWITCH DIP ST 6P ENRWEY BTS-TP614L-4C,ENRWEY,NTD 11.0000,NTD 11.0000
4881,12-080000030,TACT SWITCH SMD ST 4P ENRWEY BTS-1102NEAC-2-RP-K,ENRWEY,,
4882,12-080000040,*TACT SWITCH PIH RA 4P SWEETA CTT-1138-160-W,SWEETA,NTD 3.0000,NTD 3.0000
4883,12-080000050,TACT SWITCH PIH RA 4P SWEETA CTT?1138?160?W?D,SWEETA,NTD 3.0000,NTD 3.0000
4884,12-080000060,TACT SWITCH SMD RA 7P CONTACT TS-A02VS2C,CONTACT,NTD 2.7000,NTD 2.7000
4885,12-080000070,TACT SWITCH DIP RA 4P ENRWEY BTS-1104VCA-2-B-Y,ENRWEY,NTD 1.3000,NTD 1.3000
4886,12-080001300,*TACT SWITCH DIP R/A 5P PH4.7 4.65*6.7mm DS-13P PB_FREE,SWEETA,NTD 10.5000,NTD 13.5000
4887,12-080001301,TACT SWITCH DIP R/A 5P PH4.7 4.65*6.7mm DS-13P PB_FREE,CONTACT,NTD 10.5000,NTD 13.6500
4888,12-080006301,TACT SWITCH DIP S/A H:7.2 TLL-63CB-Q-B W/LED BLUE PB_FREE,DIPTRONICS,NTD 12.6000,NTD 12.6000
4889,12-080007100,TACT SWITCH DIP R/A 6P RS-71-RS4 PB_FREE,SWEETA,NTD 19.0000,NTD 19.0000
4890,12-080012300,TACT SWITCH DIP R/A 3P H:5.08 L:3.1 PH2.54 BSL-DS-12A3QN PB_FREE,ENRWEY,NTD 15.0000,NTD 15.0000
4891,12-080061501,*TACT SWITCH DIP R/A H:6.75 L:2.8 BTS-TP615RL-3 W/LED GREEN PB_FREE,ENRWEY,NTD 11.3500,NTD 11.3500
4892,12-080110200,TACT SWITCH DIP 4P R/A H:6.2 L:3.85 BTS-1102VA-2-B-K PB_FREE,ENRWEY,,
4893,12-080110201,TACT SWITCH DIP 4P R/A H:6.2 L:6.85 BTS-1102VD-2-B-K PB_FREE,ENRWEY,NTD 1.0000,NTD 1.0000
4894,12-080110202,*TACT SWITCH DIP 4P H:6.2 L:5.85 BTS-1102VB-2-B PB_FREE,ENRWEY,,
4895,12-080110203,TACT SWITCH DIP 4P R/A H:6.2 L:8.35 BTS-1102VC-2-B PB_FREE,ENRWEY,NTD 1.1500,NTD 1.1500
4896,12-080110401,*TACT SWITCH DIP 4P R/A H:10.2 L: 6.85 BTS-1104VD-2-B-K PB_FREE,ENRWEY,NTD 1.4500,NTD 1.4500
4897,12-080110402,*TACT SWITCH DIP 4P R/A H:10.2 L: 6.85 BTS-1104VC-2-B-Y PB_FREE,ENRWEY,NTD 1.3000,NTD 1.3000
4898,12-080111903,TACT SWITCH DIP S/A H:7.2 BTS-1119-BL W/LED BLUE PB_FREE,ENRWEY,NTD 12.1500,NTD 12.1500
4899,12-080200301,TACT SWITCH DIP R/A H:7 L:6 TS-2-C0-E0-RL3-S313 W/LED GREEN PB_FREE,CONTACT,NTD 10.5000,NTD 10.5000
4900,12-080615101,TACT SWITCH DIP R/A H:7 L: 5.8 BTS-TP6151RL-4 W/LED BLUE,ENRWEY,NTD 9.5000,NTD 9.5000
4901,12-080700200,TACT SWITCH DIP R/A H:7 L: 5.8 TS-7-C0-E0-RL3-S313 W/LED BLUE,CONTACT,NTD 10.0000,NTD 10.0000
4902,12-080860101,*TACT SWITCH DIP 5P L8601P-MQ-E-J44-H PB_FREE,SALECOM,NTD 23.0000,
4903,12-081061001,*TACT SWITCH SMD R/A H:7.02 L:1 4P BTS-TA610N-V-TR PB_FREE,ENRWEY,NTD 4.8000,NTD 4.8000
4904,12-081063301,TACT SWITCH SMD R/A H:7.02 L:3.3 4P BTS-TA633N-V-TR PB_FREE,ENRWEY,NTD 5.6500,NTD 5.5000
4905,12-081110200,*TACT SWITCH SMD 4P H:5mm BTS-1102NEA-2-B-V-K PB_FREE(散裝料),ENRWEY,NTD 1.0500,NTD 1.0500
4906,12-081110201,TACT SWITCH SMD 4P S/A H:5mm BTS-1102NEA-2-RP-K PB_FREE,ENRWEY,NTD 1.2000,NTD 1.2000
4907,12-081110202,TACT SWITCH SMD 4P S/A H:8mm BTS-1102NEC-2-RP-K PB_FREE,ENRWEY,NTD 1.4500,NTD 1.4500
4908,12-081112101,*TACT SWITCH SMD 5P BTS-1121E-2-RP-V PB_FREE,ENRWEY,NTD 2.9500,NTD 2.9500
4909,12-081113800,TACT SWITCH SMD 4P S/A H:3.5 L:10 CTT-1138-160 PB_FREE,SWEETA,NTD 2.7000,NTD 2.7000
4910,12-081113801,TACT SWITCH SMD R/A H:3.5 L:1 4P BTS-1112 PB_FREE,ENRWEY,NTD 2.9500,NTD 2.9500
4911,12-081118700,TACT SWITCH SMD 4P H:3.5mm BTS-1187B-2-B-RP-K PB_FREE,ENRWEY,NTD 2.0000,NTD 2.0000
4912,12-081119801,TACT SWITCH SMD 5P BTS-1198BG-2 PB_FREE,ENRWEY,NTD 2.9500,NTD 2.9500
4913,12-081212600,TACT SWITCH SMD 5P TS-A00A-2-S126 PB_FREE,Lian Xiang,NTD 2.5000,NTD 2.5000
4914,12-090000010,SOCKET_CPU SMD 4098P LOTES AZIFS018-P003C,LOTES,NTD 225.0000,NTD 225.0000
4915,12-090000020,SOCKET_CPU LOADING MODULE SMD 4098P LOTES AZIFS001-P001C,LOTES,NTD 255.0000,NTD 255.0000
4916,12-090000030,SOCKET_CPU BOLSTER/BACK PLATE DIP 4P LOTES AHSKS001-P027C,LOTES,NTD 90.0000,NTD 90.0000
4917,12-090000040,SOCKET_DDRIV SODIMM SMD RA 260P REVERSE H:9.2mm TE C-2309414-1,TELE TEC,USD 0.6500,USD 0.6500
4918,12-090000050,SOCKET_DDRV UDIMM SMD ST 288P BLACK LOTES ADR5A105-P017CC,LOTES,,NTD 30.9000
4919,12-090000060,SOCKET_DDRV UDIMM SMD ST 288P WHITE LOTES ADR5A105-P018CC,LOTES,,NTD 30.9000
4920,12-090000070,SOCKET_CPU SMD 1131P LOTES AZIF0068-P001C,LOTES,,NTD 54.0000
4921,12-090000080,SOCKET_CPU SMD GLA 1700P LOTES AZIF0216-P004C,LOTES,,NTD 100.0000
4922,12-090000090,SOCKET_CPU DIP VILM_BP_COVER_ASSY LOTES AZIF0239-P001C,LOTES,,NTD 80.0000
4923,12-090112401,MINI PCI SOCKET SMD 124P H:10 3.3V AS0B126-S99N-4F PB_FREE,FOXCONN,,
4924,12-092120021,DDR SOCKET 200P 90°RA AS0A426-E2RN-7F REVERSE PB_FREE,FOXCONN,NTD 25.5000,NTD 25.5000
4925,12-094105030,*CF SOCKET SMD 50P CFC-50MGS4-S-W-2S1-RO(10480290) PB_FREE,DAVID,NTD 29.0000,NTD 29.0000
4926,12-094105050,*CF SOCKET SMD 50P 342-50144B1205 PB_FREE,EVERSHINE,NTD 15.0000,
4927,12-095000890,EEPROM SOCKET DIP 8P AYM2-08STSC-RO(10080110) PB_FREE,DAVID,,
4928,12-096120040,DDRII SODIMM SOCKET 200P 90°RA AS0A426-N2RN-7F REVERSE PB_FREE,FOXCONN,NTD 22.2000,NTD 22.2000
4929,12-096120041,*DDRII SODIMM SOCKET 200P 90°RA AS0A426-N2SN-7F STANDARD PB_FREE,FOXCONN,NTD 24.0000,NTD 24.0000
4930,12-096120042,DDRII SODIMM SOCKET 200P 90°RA AS0A426-K2RN-7H REVERSE PB_FREE & Halogen_FREE,FOXCONN,NTD 22.2000,NTD 22.2000
4931,12-096120043,DDRII SODIMM SOCKET 200P 90°RA AS0A426-K2SN-7H STANDARD PB_FREE & Halogen_FREE,FOXCONN,NTD 24.0000,NTD 24.0000
4932,12-097024060,DDRIII DIMM SOCKET 240P 155° AUR4017-A1B-4F PB_FREE,FOXCONN,NTD 98.0000,NTD 98.0000
4933,12-097024061,DDRIII DIMM SOCKET DIP 240P 180°ST ATH4017-H3L-4F (BLUE) PB_FREE,FOXCONN,,NTD 21.5000
4934,12-097024062,DDRIII DIMM SOCKET DIP 240P 180°ST ATH4017-N3VE-4F (WHITE) PB_FREE,FOXCONN,NTD 21.0000,NTD 21.0000
4935,12-097024063,DDRIII DIMM SOCKET 240P 25° AUT4017-A1B-4F PB_FREE,FOXCONN,NTD 92.0000,NTD 92.0000
4936,12-097120440,*DDRIII SODIMM SOCKET 204P 90°RA REVERSE AS0A626-N2RN-7H PB_FREE,FOXCONN,NTD 22.8000,NTD 21.0000
4937,12-097120441,*DDRIII SODIMM SOCKET 204P 90°RA STANDARD AS0A626-N2SN-7H PB_FREE,FOXCONN,NTD 22.8000,NTD 20.5000
4938,12-097120442,DDRIII SODIMM SOCKET SMD 204P 90°RA REVERSE (白色) AS0A626-N2R6-7H/ AS0A626-H2R6-7H PB_FREE,FOXCONN,NTD 13.5000,NTD 13.5000
4939,12-097120443,DDRIII SODIMM SOCKET SMD 204P 90°RA STANDARD AS0A626-N2S6-7H/ AS0A626-H2S6-7H PB_FREE,FOXCONN,NTD 13.5000,NTD 13.5000
4940,12-097120444,*DDRIII SODIMM SOCKET 204P 90°RA STANDARD AS0A626-N2SN-7H(盤裝料) PB_FREE,FOXCONN,NTD 20.5000,NTD 20.5000
4941,12-097120460,DDRIII SODIMM SOCKET SMD 204P 90°RA STANDARD H:9.2mm AS0A62x-HASN-xH_317-0000-1906_B PB_FREE,FOXCONN,,
4942,12-097120461,DDRIII SODIMM SOCKET SMD 204P 90°RA REVERSE H:9.2mm AS0A62x-HARN-xH_317-0000-1907_B PB_FREE,FOXCONN,,
4943,12-097120462,*DDRIII SODIMM SOCKET SMD 204P 90°RA REVERSE (黑色) H:5.2mm DER-40-40024-38 PB_FREE,DEREN,USD 0.4100,USD 0.4100
4944,12-097124060,*DDRIII DIMM SOCKET 240P 90°RA PB_FREE,DAVID,,NTD 106.0000
4945,12-097124061,DDRIII DIMM SOCKET 240P 115°RA AUT40-A1B-4F 317-0000-1615_X2 PB_FREE,FOXCONN,,NTD 100.0000
4946,12-097124090,*DDRIII DIMM SOCKET DIP 240P 180°ST ATH4017-H3B-4F (15u”) PB_FREE,FOXCONN,NTD 18.5000,NTD 18.5000
4947,12-097124091,*DDRIII DIMM SOCKET DIP 240P 180°ST DIM-240SGS-K-RO PB_FREE,DAVID,NTD 36.0000,NTD 33.0000
4948,12-097124092,*DDRIII DIMM SOCKET DIP 240P 180°ST 10081530-12207LF (15u”) PB_FREE,FCI,USD 0.5498,USD 0.5498
4949,12-098000490,CPU SOCKET CLIP DIP LGA-3647 WNMEL00-82N00-EH PB_FREE,FOXCONN,NTD 29.0000,NTD 29.0000
4950,12-098000790,CPU SOCKET BOLSTER/BACK PLATE DIP LGA-3647 WNMEA66-81N00-EH PB_FREE,FOXCONN,NTD 323.0000,NTD 323.0000
4951,12-098164790,CPU SOCKET SMD LGA-3647 YELLOW SEGMENT A PE36477-01NK1-1H PB_FREE,FOXCONN,NTD 256.0000,NTD 256.0000
4952,12-098164791,CPU SOCKET SMD LGA-3647 BLACK SEGMENT B PE36477-01NK2-1H PB_FREE,FOXCONN,NTD 256.0000,NTD 256.0000
4953,12-0981B5060,CPU SOCKET SMD LGA 1150P PE115027-4041-01F PB_FREE,FOXCONN,NTD 50.0000,NTD 50.0000
4954,12-0981B5190,CPU SOCKET SMD LGA-1151 PE115127-4041-01H PB_FREE,FOXCONN,,
